epoch,accuracy_test_before,accuracy_test_after
0,4.150943396226415,78.74213836477988
1,13.670033670033671,88.68686868686869
2,7.8827361563517915,91.53094462540716
3,24.367088607594937,93.54430379746836
4,28.604118993135014,93.28756674294432
5,20.595854922279795,87.43523316062176
6,14.422369389256806,95.80573951434879
7,55.83224115334207,93.05373525557012
8,42.50764525993883,96.94189602446484
9,74.57322551662175,97.75381850853549
10,63.94472361809045,98.36683417085426
11,51.787709497206706,97.82122905027933
12,72.89719626168224,96.09175870858114
13,61.2751677852349,97.8523489932886
14,63.19772942289499,95.26963103122044
15,69.77077363896849,96.91977077363897
16,79.09011373578304,97.63779527559055
17,51.550208236927354,98.5192040721888
18,87.21704394141145,99.13448735019973
19,65.1967435549525,98.50746268656717
20,83.34707337180544,98.0214344600165
21,71.80254300673148,99.10246821241586
22,79.8661800486618,97.26277372262774
23,65.25612472160356,98.44097995545657
24,77.92041078305519,99.03722721437741
25,77.29196050775741,99.01269393511988
26,56.449165402124436,98.17905918057663
27,76.16387337057728,98.23091247672254
28,77.9889152810768,98.57482185273159
29,76.90721649484537,98.86597938144331
30,69.09239574816026,98.36467702371219
31,70.0,98.72222222222223
32,72.72727272727273,98.29118250170882
33,80.59701492537313,99.05020352781547
34,79.30501930501931,98.76447876447877
35,86.40674394099051,97.78714436248683
36,65.7934131736527,98.72754491017965
37,92.7536231884058,99.24085576259489
38,76.13567534827376,98.00121138703815
39,85.16819571865443,99.54128440366972
40,92.96653431650596,99.03573454339194
41,73.00509337860781,99.32088285229203
42,87.20930232558139,99.34593023255815
43,71.39938712972422,98.67211440245148
44,86.70143415906128,98.56584093872229
45,77.86032689450224,99.40564635958395
46,85.1508120649652,99.24593967517401
47,88.97689768976898,98.94389438943895
48,73.50111028867505,98.88971132494449
49,89.08977556109726,99.25187032418953
50,93.14928425357874,98.56850715746421
51,82.19291014014838,99.58779884583677
52,76.44599303135888,99.58188153310104
53,76.7867690490254,97.51919669226226
54,91.44444444444444,98.83333333333333
55,85.5395369156837,98.90782000873743
56,93.04733727810651,99.2603550295858
57,86.97478991596638,99.01960784313727
58,76.86350435624395,98.74152952565343
59,75.22768670309654,98.54280510018215
60,74.52830188679245,98.74213836477988
61,87.79790276453765,98.18875119161106
62,75.93261131167269,98.97713598074608
63,90.6989247311828,98.9247311827957
64,84.98338870431894,99.00332225913621
65,63.69656833232992,98.91631547260687
66,83.8351822503962,99.52456418383518
67,93.01675977653632,98.74301675977654
68,90.69130732375086,99.04175222450377
69,79.27031509121062,99.50248756218906
70,83.65973072215422,99.38800489596083
71,94.29967426710097,98.53420195439739
72,88.35800807537012,99.0578734858681
73,86.84355997788835,98.94969596462134
74,93.79014989293361,98.60813704496788
75,89.40972222222221,98.17708333333334
76,85.65153733528551,99.34114202049781
77,92.16589861751152,99.14417379855168
78,91.25520523497917,98.98869720404521
79,92.64497878359265,99.78783592644979
80,80.76256499133449,98.70017331022531
81,87.22222222222223,98.68055555555556
82,90.6021897810219,99.08759124087592
83,85.85485854858548,99.32349323493234
84,94.2039618488628,99.55979457079971
85,92.58459323254141,99.49604031677465
86,93.24675324675324,98.83116883116884
87,75.62544674767692,99.07076483202287
88,86.82669789227167,98.4192037470726
89,81.20854826823877,98.96831245394252
90,88.92508143322475,98.7785016286645
91,78.65459249676586,99.09443725743856
92,89.1425046267736,99.01295496607034
93,93.5535858178888,98.71071716357775
94,91.94187582562748,99.33949801849406
95,93.80896226415094,99.41037735849056
96,79.83083929733247,98.76382563435263
97,89.24485125858124,99.54233409610984
98,88.96011396011396,98.93162393162393
99,94.23520368946964,99.00076863950808
